source_path_or_pattern	coverage	status	final_stage	final_implementation	note
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/run_make_annots_array.sh;run_control_make_annots.sh	2 files	merged	gwas_make_annotations	src/gwas_ldsc/run_make_annots_array.sh;src/gwas_ldsc/run_control_make_annots.sh	Absolute software/reference/log paths removed and empty rows rejected.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/run_ldscore_array.sh;run_control_ldscore.sh	2 files	merged	gwas_ld_scores	src/gwas_ldsc/run_ldscore_array.sh;src/gwas_ldsc/run_control_ldscore.sh	Configured LDSC runtime and references; empty rows rejected.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/run_A1_h2_152.sh;run_B1_h2_152.sh	2 files	merged	gwas_partitioned_h2	src/gwas_ldsc/run_A1_h2_152.sh;src/gwas_ldsc/run_B1_h2_152.sh	Configured LDSC runtime and references; header-bearing manifests required.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/run_A2_B2_cts_152.sh	single file	broken	gwas_cts	src/gwas_ldsc/run_A2_B2_cts_152.sh	Historically used with a headerless manifest; final code requires and validates the header so task zero reads data row one.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/rerun_E1E9_A2_B2_cts_152_and_summary.sh	single file	legacy	gwas_submit_slurm	not included	Historical repair path is unnecessary after manifest normalization; retained in historical lineage only.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/summarize_plot_A1_B1_152.py;summarize_plot_A2_B2_152.py;trait_qc_152.py;data_driven_discovery.py;data_driven_diagnostic.py;stat_plot_A2_B2_all_tissues_enrichment.py	6 files	merged	gwas_summary	src/gwas_ldsc/run_summaries.sh plus named Python scripts	Final consumers retained; GWAS_BASE is configuration-only.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/expand_to_152.py	single file	merged	traits_152	src/gwas_ldsc/expand_to_152.py	Inventory and output converted to CLI/config inputs.
/vol2/zhuangziyang/mz_paper/cre_class_human2sheep_cleaned.ipynb	emission cells only	merged	fig8_b	src/sheep_epimap/figures/fig8.py	Only confirmed emission logic enters the release.
/vol2/zhuangziyang/mz_paper/visualize_E1_E9_reuse_existing copy.ipynb	final executed plotting cells	merged	fig8_d_to_g	src/sheep_epimap/figures/fig8.py;notebooks/Fig8_final_plotting.ipynb	User-confirmed copy version is the source; abandoned and unexecuted cells excluded.
G:\PhD\RE_paper\plot_fig8_final_panels.py	local cleaned plotting script	merged	fig8_b_d_e_f_g	src/sheep_epimap/figures/fig8.py	Plot logic retained; all data paths moved to configuration.
G:\PhD\RE_paper\Fig8_final_plotting_cleaned.ipynb	local cleaned plotting notebook	merged	fig8_interactive	notebooks/Fig8_final_plotting.ipynb	Replaced by a compact output-free notebook that imports the canonical module instead of duplicating plotting functions.
G:\PhD\RE_paper\Fig8_code_cleanup_notes.md	local cleanup decision record	merged	documentation	docs/FIGURE_PROVENANCE.md;docs/METHOD_NOTES.md	Panel scope and cleanup decisions incorporated into public-facing documentation.
/vol2/zhuangziyang/mz_paper/visualize_E1_E9_reuse_existing copy.ipynb cell 18	merged-classification input builder	merged	figure_input_merge	src/sheep_epimap/figure_inputs/build_merged_classification.py	Deduplication priority and hg38 BED generation extracted from the executed final notebook.
/vol2/zhuangziyang/mz_paper/visualize_E1_E9_reuse_existing copy.ipynb cell 74	conservation input builder	merged	figure_input_conservation	src/sheep_epimap/figure_inputs/score_conservation.py	bigWigAverageOverBed workflow extracted and parameterized; output overwrite is refused by default.
/vol2/zhuangziyang/mz_paper/scripts/repro_E1_E9_blank/{01,02,05,07,run_pipeline}*	5 uncalled files	legacy	none	not included	Not part of the completed final eight-step reuse chain.
/vol2/zhuangziyang/mz_paper/GWAS_E1E9_reuse_existing/scripts/*_old.py;non-152 and 31/40/42/83-trait variants	governed legacy/exploratory pattern	legacy	none	not included	Older or non-final iterations are excluded from this figure-organized release.
